DateTime,Description,Plant Code,Alarm Group,Alarm State,Value,Operator,Operator Node
12/15/2024 00:00:41.338,Gas leakage test request,ZAC121A001REQ,Genset_12,         ,ON,WOIS,CWA901
12/15/2024 00:00:41.481,"Gas ventilation valve status, V037 & V038",ZAC121V038INF,Genset_12,         ,OFF,WOIS,CWA901
12/15/2024 00:00:41.481,Gas leak test active,ZAC121A007INF,Genset_12,         ,ON,WOIS,CWA901
12/15/2024 00:00:41.481,"Gas ventilation valve status, V037 & V038",ZAC121V037INF,Genset_12,         ,OFF,WOIS,CWA901
12/15/2024 00:00:42.342,Gas leakage test request,ZAC121A001REQ,Genset_12,         ,OFF,WOIS,CWA901
12/15/2024 00:01:02.083,Engine start command,CFC031S007STO,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:02.140,"Engine control, start command",CFC031S007INF,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:02.222,Engine sequence: Start preparation,SOB031E202INF,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:02.222,Engine sequence: Stop mode,SOB031E201INF,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:02.399,Engine start command,CFC031S007STO,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:02.644,Prelubrication pump running,QEP031M001RNI,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:02.644,Oil mist separator running,QBF031M001RNI,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:04.154,"Engine control, start command",CFC031S007INF,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:12.900,"SBL, Low LO press, engine inlet",SCA031PT201SBL,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:12.916,Engine ready for start,SCA031IS872ING,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:15.390,"PLC to UNIC HW, Start command, OS7302",CFC031A302INF,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:15.474,Engine sequence: Start preparation,SOB031E202INF,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:15.474,Engine sequence: Starting,SOB031E203INF,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:16.895,"Engine status, start mode",SCA031IS871ING,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:16.895,Engine ready for start,SCA031IS872ING,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:16.895,"Engine status, stop mode",SCA031IS878ING,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:16.895,Remote start,SCA031OS7302ING,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:16.895,Slowturning solenoid,SCA031CV331ING,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:28.689,"PLC to UNIC HW, Start command, OS7302",CFC031A302INF,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:28.689,"UNIC to PLC HW, Open gas supply request, OS9310",CFC031A328INF,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:28.773,"Gas ventilation valve status, V037 & V038",ZAC031V038INF,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:28.773,"Gas shutoff valve status, V034",ZAC031V034INF,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:28.773,"Gas ventilation valve status, V037 & V038",ZAC031V037INF,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:28.773,"Gas shutoff valve status, V033",ZAC031V033INF,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:29.899,Open gas supply,SCA031OS931OING,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:29.899,"MCC, degassing valve control",SCA031CV947ING,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:29.899,"PCC, degassing valve control",SCA031CV957ING,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:29.899,Remote start,SCA031OS7302ING,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:29.899,Slowturning solenoid,SCA031CV331ING,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:33.860,"ALM, GRU, Main line gas inlet pressure high",ZAC031P010AH,Genset_3,UNACK_ALM,ON,WOIS,CWA901
12/15/2024 00:01:38.669,"UNIC to PLC HW, Open gas supply request, OS9310",CFC031A328INF,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:38.751,"Gas shutoff valve status, V034",ZAC031V034INF,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:39.902,Open gas supply,SCA031OS931OING,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:39.902,"MCC, degassing valve control",SCA031CV947ING,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:39.902,"PCC, degassing valve control",SCA031CV957ING,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:39.902,Start solenoid valve,SCA031CV321ING,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:39.902,Slowturning solenoid,SCA031CV331ING,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:41.186,"UNIC to PLC HW, Open gas supply request, OS9310",CFC031A328INF,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:41.279,"Gas shutoff valve status, V034",ZAC031V034INF,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:41.703,"Gas shutoff valve status, V033",ZAC121V033INF,Genset_12,         ,ON,WOIS,CWA901
12/15/2024 00:01:41.894,Engine gas ventilation complete,SCA031IS884ING,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:41.910,Open gas supply,SCA031OS931OING,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:42.899,Fuel limiter active,SCA031IS1001ING,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:43.177,"Gas leak test pressure status, P02",ZAC121P002INF,Genset_12,         ,ON,WOIS,CWA901
12/15/2024 00:01:43.916,"MCC, degassing valve control",SCA031CV947ING,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:44.777,Engine start command,CFC041S007STO,Genset_4,         ,ON,WOIS,CWA901
12/15/2024 00:01:44.843,"Engine control, start command",CFC041S007INF,Genset_4,         ,ON,WOIS,CWA901
12/15/2024 00:01:44.926,Engine sequence: Start preparation,SOB041E202INF,Genset_4,         ,ON,WOIS,CWA901
12/15/2024 00:01:44.926,Engine sequence: Stop mode,SOB041E201INF,Genset_4,         ,OFF,WOIS,CWA901
12/15/2024 00:01:45.177,Oil mist separator running,QBF041M001RNI,Genset_4,         ,ON,WOIS,CWA901
12/15/2024 00:01:45.177,Prelubrication pump running,QEP041M001RNI,Genset_4,         ,ON,WOIS,CWA901
12/15/2024 00:01:45.371,Engine start command,CFC041S007STO,Genset_4,         ,OFF,WOIS,CWA901
12/15/2024 00:01:45.895,"MCC, degassing valve control",SCA031CV947ING,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:46.831,"ALM, GRU, Main line gas inlet pressure high",ZAC121P010AH,Genset_12,UNACK_ALM,ON,WOIS,CWA901
12/15/2024 00:01:46.852,"Engine control, start command",CFC041S007INF,Genset_4,         ,OFF,WOIS,CWA901
12/15/2024 00:01:47.901,"MCC, degassing valve control",SCA031CV947ING,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:48.903,Start solenoid valve,SCA031CV321ING,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:48.903,Slowturning solenoid,SCA031CV331ING,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:48.903,Fuel limiter active,SCA031IS1001ING,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:49.904,"Engine status, start mode",SCA031IS871ING,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:49.904,"Engine status, run mode",SCA031IS883ING,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:49.920,"MCC, degassing valve control",SCA031CV947ING,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:50.855,"DER, Pgas, Gas feed pressure",SOB031F159INF,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:51.619,"UNIC to PLC HW, Engine running (40% speed), IS181",CFC031A321INF,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:51.701,"STB, Engine running",CFC031S007SBI,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:51.701,Engine sequence: Starting,SOB031E203INF,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:51.701,"STB, Start block active from PLC",CFC031A200SBI,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:51.701,Engine sequence: Idle running,SOB031E204INF,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:51.784,Inlet ventilation freq. conv. running,BLQ031M001RNI,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:51.955,Auxiliary ventilation fan 1 running,UVB031M001RNI,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:51.955,Auxiliary ventilation fan 2 remote mode,UVB031M002CEI,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:52.318,Generator anticond. heater on,BAG031B001RNI,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:52.318,Roof outlet ventilation freq. conv. running,BLQ032M001RNI,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:52.318,Preheating pump 1 running,VDA031M001RNI,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:52.318,Prelubrication pump running,QEP031M001RNI,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:53.901,"SBL, Low LO press, engine inlet",SCA041PT201SBL,Genset_4,         ,OFF,WOIS,CWA901
12/15/2024 00:01:53.917,"MCC, degassing valve control",SCA031CV947ING,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:54.713,"PLC to UNIC HW, Start command, OS7302",CFC041A302INF,Genset_4,         ,ON,WOIS,CWA901
12/15/2024 00:01:54.787,Engine sequence: Start preparation,SOB041E202INF,Genset_4,         ,OFF,WOIS,CWA901
