DateTime,Description,Plant Code,Alarm Group,Alarm State,Value,Operator,Operator Node
12/15/2024 00:02:06.220,Gas leakage test request,ZAC161A001REQ,Genset_16,         ,ON,WOIS,CWA903
12/15/2024 00:02:06.336,"Gas ventilation valve status, V037 & V038",ZAC161V037INF,Genset_16,         ,OFF,WOIS,CWA903
12/15/2024 00:02:06.336,"Gas ventilation valve status, V037 & V038",ZAC161V038INF,Genset_16,         ,OFF,WOIS,CWA903
12/15/2024 00:02:06.336,Gas leak test active,ZAC161A007INF,Genset_16,         ,ON,WOIS,CWA903
12/15/2024 00:02:06.674,Gas leakage test request,ZAC161A001REQ,Genset_16,         ,OFF,WOIS,CWA903
12/15/2024 00:02:13.816,Gas leakage test request,ZAC141A001REQ,Genset_14,         ,ON,WOIS,CWA903
12/15/2024 00:02:13.911,Gas leak test active,ZAC141A007INF,Genset_14,         ,ON,WOIS,CWA903
12/15/2024 00:02:13.911,"Gas ventilation valve status, V037 & V038",ZAC141V037INF,Genset_14,         ,OFF,WOIS,CWA903
12/15/2024 00:02:13.911,"Gas ventilation valve status, V037 & V038",ZAC141V038INF,Genset_14,         ,OFF,WOIS,CWA903
12/15/2024 00:02:14.639,Gas leakage test request,ZAC141A001REQ,Genset_14,         ,OFF,WOIS,CWA903
12/15/2024 00:02:22.597,Engine start command,CFC221S007STO,Genset_22,         ,ON,WOIS,CWA903
12/15/2024 00:02:22.709,"Engine control, start command",CFC221S007INF,Genset_22,         ,ON,WOIS,CWA903
12/15/2024 00:02:22.792,Engine sequence: Start preparation,SOB221E202INF,Genset_22,         ,ON,WOIS,CWA903
12/15/2024 00:02:22.792,Engine sequence: Stop mode,SOB221E201INF,Genset_22,         ,OFF,WOIS,CWA903
12/15/2024 00:02:23.161,Engine start command,CFC221S007STO,Genset_22,         ,OFF,WOIS,CWA903
12/15/2024 00:02:23.334,Oil mist separator running,QBF221M001RNI,Genset_22,         ,ON,WOIS,CWA903
12/15/2024 00:02:23.334,Prelubrication pump running,QEP221M001RNI,Genset_22,         ,ON,WOIS,CWA903
12/15/2024 00:02:24.773,"Engine control, start command",CFC221S007INF,Genset_22,         ,OFF,WOIS,CWA903
12/15/2024 00:02:26.678,Engine start command,CFC231S007STO,Genset_23,         ,ON,WOIS,CWA903
12/15/2024 00:02:26.781,"Engine control, start command",CFC231S007INF,Genset_23,         ,ON,WOIS,CWA903
